s,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1
311,Stanford University,SalesforceIQ,Insight Data Science,Stanford University,SalesforceIQ,Ph.D. Candidate,Software Engineer,Fellow,Graduate Course Assistant,Software Engineer,San Francisco Bay Area,Palo Alto,San Francisco Bay Area,Palo Alto,,month:9;year:2010,month:1;year:2016,month:4;year:2016,,month:1;year:2016,month:3;year:2016,month:9;year:2010,month:8;year:2015,month:4;year:2016,,
312,Murphy & Associates; Inc.,Bluetooth SIG,Microsoft,Bluetooth SIG,Microsoft,QA Contractor,Senior Quality Engineering Manager,Software Engineer II,Sr. Lead Quality Assurance Engineer,Software Engineer II,Bluetooth SIG; Kirkland,Kirkland,Redmond,Kirkland,Redmond,month:9;year:2014,month:10;year:2014,month:2;year:2016,,month:3;year:2014,month:7;year:2014,month:10;year:2014,month:1;year:2016,month:3;year:2011,month:3;year:2014,
313,Microsoft,Pfizer,Axis Capital (HCL America Inc),Microsoft,Kansas City Southern Railway,Technical Program Manager,Business Intelligence Solution Architect - Project Manager (HCL America Inc),Business Intelligence Solution Architect - Project Manager,Principal Solutions Manager - Information Architecture,Technical Program Manager (HCL America Inc),Redmond; WA,Peapack; NJ; USA,Berkeley Heights; USA; Singapore,Kansas City; Missouri,,month:4;year:2012,month:7;year:2014,month:12;year:2010,month:6;year:2011,month:7;year:2011,month:9;year:2011,month:11;year:2014,,month:11;year:2011,month:4;year:2012,
314,International Centre for Theoretical Physics,Computer Systems Lab; Chosun University,,,,Visiting Scientist,Research Assistant,,,,Gwangju; Gyeonggi-do; Korea,,,,,month:10;year:2009,month:10;year:2010,month:9;year:2009,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,,,,,
316,CLC Consultores en Logística,Logitravel,BBVA Data & Analytics,IFISC (Institute for Cross-Disciplinary Physics and Complex Systems),Northeastern University,Junior Consultant,Data Scientist,Data Scientist,PhD student in complex systems (Palma) at IFISC,Short Term scholar,Palma Area; Spain,Madrid Area; Spain,Greater Boston Area,,,month:4;year:2010,month:4;year:2011,month:7;year:2015,month:12;year:2015,month:1;year:2016,,month:5;year:2011,month:7;year:2015,month:2;year:2014,month:7;year:2014,
317,FusionOne,Datadistil.net,Comcast,Seven Networks,FusionOne acquired by Synchronoss in July; 2010,Director of Product Management,Co-Founder,Director of Product Management - Bigdata/Cloud/IoT Platform (Contract),Director of Engineering; Advanced Products (Messaging),Director of Product Management - Cloud Products (Analytics; SaaS; UX),San Jose,Sunnyvale; CA,Redwood City; CA,San Jose; CA,,month:7;year:2008,month:7;year:2010,month:6;year:2016,month:11;year:2016,month:12;year:2016,,month:6;year:2007,month:6;year:2008,month:8;year:2010,month:5;year:2016,
318,Intel,Intel,Intel (Hong Kong & Shanghai),,,CTO Financial Services Industry Solutions,Principal Architect,Solution Architect,,,Portland; OR,,,,,year:2015,year:2015,year:1996,,year:2002,year:2003,,,,,
319,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Principal Data Scientist Lead - Dynamics Online,Principal Data & Application Scientist - Technology Evangelism and Development,User Experience Group Manager - Office Live,Principal Data & Applied Scientist - Azure Identity and Developer Platform,Online Strategy Director - O365 Customer Service,Redmond,Redmond,Redmond; WA,Redmond; WA,Redmond; WA,month:2;year:2012,month:4;year:2015,month:2;year:2017,,month:4;year:2007,month:7;year:2009,month:4;year:2015,month:1;year:2017,month:7;year:2009,month:2;year:2012,
320,Network Housing Group,Develin Consulting,Affinity Sutton,The Whiteley Homes Trust,Affinity Sutton,Consultant to the 'Understanding Our Costs' Change Programme,Owner / Director,Architect & Developer Predictive Analytics pilot,Programme Manager for Strategic & Business Planning Programme,Architect for the ROI framework for major ERP based change programme,London; United Kingdom,London; United Kingdom,Surrey; UK,London; United Kingdom,London; United Kingdom,month:7;year:2011,month:7;year:2011,month:4;year:2011,month:4;year:2011,month:1;year:2016,month:1;year:2016,month:10;year:2014,month:10;year:2014,month:4;year:2014,month:4;year:2014,
321,Amazon,Microsoft,Microsoft,Microsoft Corporation,Microsoft Corporation,Technical Communications Manager,Senior Program Manager; Premier Field Engineering,Project Manager; Microsoft Learning,Project Manager; Windows Server,Senior Content Publishing Manager,Seattle,,,,,month:9;year:2016,,month:8;year:2007,month:5;year:2011,month:1;year:2004,month:8;year:2007,month:1;year:2002,month:12;year:2003,month:4;year:2011,month:9;year:2016,
322,Publix Super Markets,Publix Super Markets,Publix Super Markets,,,Marketing Business Analyst,Business Analyst,Real Estate Accounting,,,Lakeland; Florida Area,Lakeland; Florida Area,,,,month:1;year:2016,,month:12;year:2014,month:12;year:2015,,,,,,,
323,Orbicule,K.U.Leuven,Diploid,K.U.Leuven,,Founder,Post-Doc,Founder,PhD student,,Leuven,Leuven,Leuven; Belgium,,,month:1;year:2006,,month:4;year:2004,month:12;year:2005,month:10;year:2014,,year:1999,year:2004,,,
324,Ontario Lottery and Gaming Corporation,OLG,Responsible Gambling Council,,,Manager Social Responsibility Data Strategy,Manager Policy and Social Responsibility,Senior Researcher,,,,,,,,month:10;year:2014,,month:5;year:2012,month:9;year:2014,year:2004,year:2012,,,,,
325,AgustaWestland,Statoil,EDS Consulting Services S.p.a.,Statoil,Statoil,Avionic Software Engineer,Agile Coach/ Software Developer Lead (Principal),Senior Consultant,Scrum Master/ Software Developer (Senior),Software Developer with a passion for Data Science,Varese Area; Italy,Stavanger Area; Norway,Milan Area; Italy,Stavanger Area; Norway,Stavanger Area; Norway,month:9;year:2004,month:12;year:2006,month:7;year:2012,month:5;year:2015,month:9;year:2000,month:9;year:2004,month:1;year:2007,month:6;year:2012,month:6;year:2015,,
326,Eurolatina,OXYLO,Aegon,OXYLO B.V.,Aegon,World Traveller,Independent actuary,Actuarial consultant,Business owner,Account Manager Institutional Clients,South America,Amersfoort; Netherlands,The Hague Area; Netherlands,Amersfoort; Netherlands,The Hague Area; Netherlands,month:9;year:2001,month:3;year:2002,month:1;year:2008,month:12;year:2012,month:9;year:2002,month:12;year:2003,month:1;year:2013,,year:2004,year:2007,
327,Microsoft,LaSer Symag,N/A,Motorola Solutions,Instytut Zootechniki - Panstwowy Instytut Badawczy,Machine Learning Scientist II,Software Developer,N/A,Software Engineer,Software Developer - Intern,Redmond,Kraków Area; Poland,World,Kraków Area; Poland,Cracow,month:10;year:2013,month:9;year:2016,month:4;year:2011,month:9;year:2011,month:9;year:2016,,month:7;year:2012,month:8;year:2013,month:7;year:2010,month:8;year:2010,
328,Microsoft Corporation,Microsoft,,,,Sr Software Development Engineer,Engineering Manager,,,,,,,,,month:4;year:2001,,,,,,,,,,
329,Aditi,Microsoft,Cascadia Community College,Aditi,Microsoft,Software,Principal Test Manager,Software,Principal Test Manager,,Greater Seattle Area,Greater Seattle Area,,,,year:1998,year:1998,month:2;year:2001,month:2;year:2001,year:1998,year:1998,month:2;year:2001,month:2;year:2001,,,
330,Visa,Epsilon,University of Houston-Clear Lake,Infosys,MIS Organisation,Technical System Analyst,Database Developer Intern,Administrative Teaching Assistant,System Engineer,,Austin; Texas Area,Irving; Texas,Houston; Texas,Pune Area; India,,month:7;year:2015,,month:6;year:2014,month:8;year:2014,month:8;year:2014,month:5;year:2015,month:8;year:2011,month:7;year:2013,,,
331,Egencia; an Expedia company,Infosys,University of Cincinnati,CSBA.Inc,Expedia; Inc.,Product Manager,Senior Associate Consultant,Teaching Assistant -Business Analytics,Student Consultant,Senior Analyst,Bellevue; Washington,Pune Area; India,Cincinnati,Greater Seattle Area,,month:10;year:2016,,month:1;year:2011,month:7;year:2013,month:1;year:2014,month:4;year:2014,month:10;year:2013,month:4;year:2014,month:10;year:2014,month:10;year:2016,
332,Genpact Headstrong Capital Markets,-,Geometric Ltd.,OppenheimerFunds,OppenheimerFunds,Lead Consultant,Entrepreneurship/Management Consultancy,Sr Software Engineer,-,,Bangalore + New York,Pune,Pune Area; India,Greater New York City Area,,year:2005,year:2010,month:1;year:2010,month:12;year:2011,year:2002,year:2005,month:1;year:2012,,,,
333,Capita plc (Evolvi Rail Systems),GE Commercial Finance,CEMECO Group,Tata Consultancy Services,,Business Analyst,Consultant,Project Management,IT Consultant,,Henley on Thames;Oxfordshire;England,London; United Kingdom,Italy,,,month:5;year:2008,month:1;year:2010,month:9;year:2005,month:3;year:2008,month:2;year:2010,,year:2000,year:2008,,,
334,Microsoft,Microsoft,CapitalOne Auto Finance,Wipro Technologies,Microsoft,Senior Software Engineer,Sr. Test Manager,Product Support Analyst (non-FTE),Project Lead,Test Engineering - Manager,Greater Seattle Area,Hyderabad Area; India,Greater San Diego Area,Hyderabad Area; India,Greater Seattle Area,month:7;year:2014,month:7;year:2014,month:10;year:2010,month:10;year:2010,month:12;year:2004,month:12;year:2004,month:5;year:2002,month:5;year:2002,month:5;year:2006,month:5;year:2006,
335,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Abbey National,Securities and Exchange Commission of Sri Lanka,PricewaterhouseCoopers,Copal Amba (a Moody’s Analytics Company),BDO Stoy Hayward,Credit Risk Analyst,Executive,Project Assistant,Vice President (Quantitative Services),Audit Assistant,Milton Keynes; United Kingdom,Colombo; Sri Lanka,Colombo; Sri Lanka,Colombo; Sri Lanka,London; United Kingdom,month:6;year:2007,month:9;year:2007,month:9;year:2006,month:1;year:2007,month:9;year:2003,month:10;year:2003,month:10;year:2009,,month:2;year:2004,month:9;year:2004,
337,Microsoft,NIIT Technologies Limited,Microsoft,Microsoft,Microsoft,Software Engineering Lead,Senior System associate,Senior Test Engineer,Lead SDET,Software Engineering Lead,Redmond,Redmond,,,,month:10;year:2014,month:10;year:2014,month:6;year:1998,month:6;year:1998,month:8;year:2005,month:8;year:2005,month:3;year:2012,month:3;year:2012,month:10;year:2014,month:10;year:2014,
338,REI,NBCUniversal; Inc.,ESPN,ABC Television,ESPN,Sr. Web Analyst; Digital Retail,Manager of NBC Broadcast Digital Analytics,Research Associate; Distribution Research,Manager; Digital Sales Research,Associate Manager; Distribution and Hispanic Digital Research,Kent; WA,,,,,month:4;year:2016,,month:10;year:2014,month:4;year:2016,year:2009,year:2012,month:4;year:2013,month:10;year:2014,month:4;year:2012,month:4;year:2013,
339,Globo.com,Globo.com,RSI - Redes e sistemas de informação,Globo.com,Globo.com,System Developer,Product Engineering Manager - Big Data & Semantics,System Developer,System Development Coordinator & Scrum Master,Product Owner - Sports Products,Rio de Janeiro Area; Brazil,,,,,month:5;year:2000,month:2;year:2005,month:1;year:2015,,month:10;year:1999,month:5;year:2000,year:2005,year:2009,year:2009,month:12;year:2014,
340,PayPal,Populus Group,Populus Group,Cognizant Technology Solutions,Populus Group,Sr. MTS Architect Platform Security,Information Security Consultant_Bank of America,Information Security Consultant_Foodlion DELHAIZE AMERICA,Manager Operations,Senior Information Security Analyst_Bank of America,San Francisco Bay Area,Charlotte; North Carolina Area,Salisbury; NC,Charlotte; North Carolina Area,Charlotte; North Carolina Area,month:8;year:2015,,month:10;year:2011,month:3;year:2013,month:1;year:2011,month:10;year:2011,month:4;year:2013,month:7;year:2015,month:12;year:2008,month:12;year:2010,
341,Bridgestone de Costa Rica,Bandag,Bridgestone,Bridgestone,Delek US Holdings,Sr Systems Architect / Project Technical Lead,Sr Systems Architect / Project Technical Lead,Enterprise Architect / Manager; Business Process and Solution Architecture,Solutions Architect,Sr Solution Architect,Heredia; Costarica,Nashville; TN,Greater Nashville Area; TN,Greater Nashville Area; TN,Brentwood,month:10;year:2011,month:12;year:2012,month:3;year:2009,month:4;year:2011,month:9;year:2014,month:11;year:2015,month:1;year:2014,month:9;year:2014,month:12;year:2012,month:12;year:2013,
342,Accenture,ViON Corporation,Sprint Nextel Corp.,Comcast Cable,Ericsson Services Inc.,Lead BigData Consultant and Architect,Big Data & Analytics Architect,Senior Systems Engineer,Engr IV,Senior Systems Engineer,Washington D.C. Metro Area,Herndon VA,,,,month:6;year:2014,month:7;year:2015,month:7;year:2015,,month:7;year:2003,month:9;year:2009,month:7;year:2010,month:6;year:2014,month:9;year:2009,month:8;year:2010,
343,BEST Consulting,BinarySky.Net,Microsoft,,,Sr. Systems Technology Consultant,President,Principal Dev. Manager,,,Redmond WA,Redmond; WA USA,,,,month:12;year:1998,month:6;year:2002,month:1;year:2002,month:3;year:2008,month:3;year:2008,,,,,,
344,Computer Associates,Computer Associates,Microsoft,Platinum Technology,Microsoft,Architect,Senior Software Engineer,Principal Program Manager,Software Engineer,Senior Program Manager,,,,,,month:7;year:1999,month:11;year:2008,month:6;year:1999,month:5;year:2001,month:9;year:2011,,month:6;year:1997,month:6;year:1999,month:12;year:2008,month:9;year:2011,
345,Scalda,Van der Wekke Diensten,Fokker Elmo,HZ University of Applied Sciences,Bedrijvencentrum De Punt | Bergen op Zoom,Internship; Marketing Teacher,Project Assistant,Software Asset Manager,Lecturer,Co Founder,Middelburg,Bergen Op Zoom Area; Netherlands,Hoogerheide,Vlissingen,Bergen Op Zoom Area; Netherlands,month:9;year:2011,month:7;year:2012,month:7;year:2007,month:7;year:2014,month:5;year:2014,month:8;year:2014,month:8;year:2014,,month:11;year:2013,,
346,Microsoft,Microsoft,Amazon Web Services,Ordinary Efforts,Fuchsia Shoes Inc.,Software Design Engineer II (Windows Azure Storage),Software Design Engineer (AdCenter),Software Development Engineer (AWS S3 Index Service),Co Founder,Co Founder,Redmond,Redmond,Greater Seattle Area,Greater Seattle Area,,year:2012,year:2014,year:2006,year:2012,month:2;year:2014,month:1;year:2016,month:11;year:2014,,month:1;year:2015,,
347,TASC/Engility; Inc.,George Mason University,Boeing / SMSi,Novetta Solutions,Berico Technologies,Sr. Data Scientist / Technical Fellow,Adjunct Professor,Big Data Scientist and Analyst; Enterprise Data Architect; Advanced Workflow SME.,Sr. Data Scientist,Principal Data Scientist,Chantilly; VA,Fairfax; VA,Northern VA USA,Springfield; VA,Reston; VA,month:11;year:2014,,month:1;year:2005,,month:10;year:2010,month:8;year:2013,month:4;year:2014,month:11;year:2014,month:8;year:2013,month:4;year:2014,
348,Globo.com,Globo.com,Oi S.A,,,Estagiário de Inteligência de Internet / Web Analytics,Analista de Inteligência de Internet / Web Analytics,Estagiário de Gestão de Canais de Venda PAP Oi TV,,,,,,,,month:8;year:2011,month:5;year:2012,month:11;year:2014,,month:3;year:2010,month:12;year:2010,,,,,
349,Citicorp Overseas Software Ltd,Change Healthcare,Oracle,Landmark,,Analyst,Director; Product development & Planning,Senior Manager; Software Engineering Excellence & Cloud Analytics,,,Hyderabad Area; India,San Francisco Bay Area,Bengaluru Area; India,,,month:12;year:2001,month:7;year:2004,month:11;year:2014,,month:8;year:2004,month:10;year:2014,,,,,
350,Allrecipes.com,Bsquare,JPMorgan Chase/WaMu,,,Software Engineer,Senior Software Engineer,Software Developer,,,,,,,,year:2012,,year:2009,year:2011,year:2003,year:2009,,,,,
351,Microsoft,Mnemonic Technologies,Microsoft,Seattle University,Lever Systems,Program Manager; Relevance and Revenue; Microsoft adCenter,Co-founder; Director Product Management,Program Manager; Microsoft adCenter Labs,Faculty Member (adjunct),Director,Bellevue; WA,Greater Seattle Area,Redmond; WA,Greater Seattle Area,Bellevue; WA,month:5;year:2009,month:1;year:2011,month:1;year:2011,month:3;year:2013,month:2;year:2008,month:4;year:2009,month:1;year:2012,month:12;year:2013,month:1;year:2014,,
352,Equal Access,Room to Read,Equal Access,Ministerio de Educación,IES Abroad,Program Officer,Development Assistant (temporary; part-time),Program Manager,Teacher; English as a Foreign Language (English Opens Doors Teaching Internship),Bilingual (French/English) Student Enrichment Coordinator,San Francisco; CA,San Francisco; CA,San Francisco Bay Area,Antofagasta; Chile,Paris; France,month:3;year:2012,month:12;year:2015,month:7;year:2012,month:12;year:2012,month:1;year:2016,,month:7;year:2011,month:12;year:2011,month:5;year:2010,month:7;year:2011,
353,Omigoddess!,Faircount Media Group,Wargaming Sydney/BigWorld Technology,International Data Group (IDG),,Editorial Assistant,Production/Editorial Coordinator,Technical Writer,Sub Editor,,Sydney; NSW; Australia,Bondi Junction; NSW; Australia,Sydney; Australia,North Sydney; NSW; Australia,,month:3;year:2010,month:2;year:2011,month:2;year:2011,month:10;year:2011,month:9;year:2016,,month:10;year:2011,month:3;year:2016,,,
354,Genworth Financial,Administrative Assistance Ltd(AAL),,,,Senior IT System Analyst (BI;ETL Informatica),IT System Analyst,,,,Burlington,,,,,year:2007,,year:2005,year:2007,,,,,,,
355,Brocade,NetApp,Nortel Networks,,,Technical Lead; Sun Microsystems,Senior Account Manager; Strategic Support,Senior Support Engineer; Internetworking Technologies,,,San Jose; CA,Sunnyvale; CA,Santa Clara; CA,,,month:11;year:2002,month:4;year:2008,month:5;year:2008,month:11;year:2014,year:2000,year:2002,,,,,
356,Allrecipes,Bowdoin College German Department,Allrecipes Germany,Allrecipes - Meredith Digital,Trap 6 Wild Alaskan Salmon Fishing,Audience Engagement Manager,Teaching Assistant,Intern,Business Analyst II,Crewman,Seattle; WA,Brunswick; ME,Seattle; WA,Seattle; WA,Uganik Island; AK,year:2015,year:2017,year:2011,year:2011,year:2012,year:2012,year:2012,year:2015,year:2008,year:2011,
357,Microsoft Corporation,Microsoft,Convercio Inc,Microsoft Corporation,Microsoft,Senior CRM Manager,Senior Product Manager; Office 365 Commercial Direct,CoFounder,Senior Product Manager,Senior Marketing Manager,Redmond; WA,Redmond; WA,Redmond; WA,Redmond; WA,Redmond; WA,month:6;year:2004,month:6;year:2004,month:8;year:2013,month:8;year:2013,month:9;year:2016,month:9;year:2016,month:10;year:2006,month:10;year:2006,month:10;year:2008,month:10;year:2008,
358,Fujitsu Computer Products Corporation of the Philippines,IBM Manufacturing Solutions Pte Ltd,MG Digital PTE LTD,,,Senior Electrical Engineer,Data Analyst,Manufacturing Test Automation Engineer,,,Philippines,Singapore,Singapore,,,month:6;year:1996,month:7;year:2006,month:10;year:2008,,month:3;year:2007,month:9;year:2008,,,,,
359,University of Alberta,Canadian Western Bank,ATB Financial,University of Alberta,ATB Financial,Teaching Assistant,Senior Manager; Model Vetting and Validation,Portfolio Modeling Specialist,Data Analyst,Credit Scorecard Modeling Specialist,Edmonton; Canada Area,Edmonton; Canada Area,Edmonton; Alberta,Edmonton; Canada Area,,month:9;year:2012,month:12;year:2012,month:11;year:2016,,month:3;year:2014,month:10;year:2016,month:1;year:2013,month:8;year:2013,month:7;year:2013,month:2;year:2014,
360,Target MarkeTeam,Richard Anderson Decision Analysis and Natural Resources Management,Galvanize Inc,Pacific Northwest National Laboratory,Duke University,Data Scientist,Decision Scientist,Data Science Fellow,Risk and Decision Scientist,Assistant Professor and Adjunct Assistant Professor of Environmental Science and Policy,Greater Atlanta Area,Pacific Northwest,Greater Seattle Area,Richland; WA,Durham; NC,month:1;year:2016,,month:7;year:2012,month:12;year:2015,month:7;year:2015,month:10;year:2015,month:1;year:2010,month:6;year:2012,month:8;year:2005,month:6;year:2012,
361,Leuser International Foundation,Mercy Corps Indonesia,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,,,IT Specialist,IT Coordinator,IT & Database Officer,,,Medan - Jakarta - Banda Aceh,Jakarta,Banda Aceh,,,month:1;year:2005,month:6;year:2007,month:8;year:2013,,month:7;year:2007,month:12;year:2012,,,,,
362,Estonian Tax and Customs Board,Ministry of Economic Affairs and Communications,Estonian Tax and Customs Board,Estonian Defence League,,Specialist,Advisor,Chief Specialist,,,Tallinn,Tallinn,,,,month:5;year:2010,month:11;year:2010,month:9;year:2013,,month:12;year:2010,month:9;year:2013,,,,,
363,Willis Towers Watson,The Society of Pension Professionals,Russell Investments,,,Head of Analytics; Manager Research | Senior Investment Consultant,Chairman; Investment Committee,Investment Consultant,,,Reigate,London; United Kingdom,Tacoma and London,,,month:10;year:2005,,month:2;year:2015,month:1;year:2017,month:4;year:1994,month:10;year:2005,,,,,
364,General de Software de Canarias; S.A.U.,Diana Software Solutions,GModelo Europa; SAU,SRG Global; Inc.,Euromarina,Analista Programador,Jefe de Proyectos,Gerente de TI,Business Intelligence & Business Systems Manager,Director de Sistemas,Santa Cruz De Tenerife; Spain,Valencia,Madrid Area; Spain,Valencia Area; Spain,Alicante,month:3;year:2001,month:10;year:2001,month:11;year:2001,month:10;year:2005,month:5;year:2008,month:3;year:2013,month:10;year:2013,,month:10;year:2005,month:5;year:2008,
365,Microsoft,Microsoft,GCI Solutions,Microsoft,Microsoft Corporation,Senior SDET,Development Lead,Senior Technical Lead,Senior Software Engineer,Senior Service Engineer,Redmond Washington,Redmond,Redmond Washington,Redmond,,month:8;year:2011,month:8;year:2011,month:3;year:2007,month:3;year:2007,month:3;year:2006,month:3;year:2006,month:11;year:2014,month:11;year:2014,month:9;year:2009,month:9;year:2009,
366,Microsoft,,,,,SDET,,,,,,,,,,month:4;year:2003,,,,,,,,,,
367,Exide Technologies,Exide Technologies,Georgia Tech Nanotechnology Research Center (NRC),Exide Technologies,Exide Technologies,Product Development Engineer,Process Engineering Manager,Student Technician,Americas VA/VE Leader,VA/VE Facilitator,Milton; GA,milton; ga,Milton; GA,Milton; GA,,month:8;year:2010,month:8;year:2012,month:9;year:2013,,month:5;year:2009,month:7;year:2010,month:10;year:2012,month:8;year:2013,month:4;year:2011,month:8;year:2012,
368,Microsoft,Upper Analytics,Seattle Pacific University,,,Program Manager,Co-Founder & Chief Data Scientist,Associate Professor - MIS,,,Greater Seattle Area,,,,,month:7;year:1990,month:7;year:2000,month:1;year:2017,,month:9;year:2004,,,,,,
369,VMware,Cloudflare; Inc.,Sumo Logic,LinkedIn,LinkedIn,Marketing Program Manager & Solutions Architect,Self Service Growth Leader,Director of Marketing Demand Generation + Operations; Analytics; & Technology,Sr. Manager; Marketing Operations; Automation; & Demand Generation,Head of Marketing Technology,San Francisco,San Francisco Bay Area,Mountain View; CA,,,month:10;year:2010,month:10;year:2011,month:5;year:2016,,month:5;year:2015,month:4;year:2016,month:9;year:2011,month:8;year:2013,month:9;year:2013,month:4;year:2015,
370,McGill University,Kent State University,Apple,,,Postdoctoral Researcher,Postdoctoral Researcher,Display Metrology Engineer,,,Physics Department,Liquid Crystal Institute,Cupertino,,,month:2;year:2010,month:5;year:2013,month:11;year:2007,month:2;year:2010,month:5;year:2013,,,,,,
371,BitYota Inc,Onvia,iLink Systems,iLink Systems,Prolifiq Software,Senior Technical Program Manager (Consultant),Delivery Manager (Consultant),Principal; Solution Delivery,Associate Director; Solution Delivery,Program Manager / Dev Lead - Data Platform (Consultant),Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,month:10;year:2014,month:4;year:2015,month:6;year:2015,month:10;year:2016,month:1;year:2008,month:11;year:2015,month:10;year:2015,,month:2;year:2008,month:1;year:2016,
372,Steel Authority of India Limited,Microsoft,Quark Media House,AmitySoft,Steel Authority of India Limited,Deputy Manger,Senior Program Manager,Member ; QA,Software Test Engineer,Deputy Manger,Redmond WA,Redmond WA,,,,month:10;year:1994,month:10;year:1994,month:11;year:2003,month:11;year:2003,month:8;year:2002,month:8;year:2002,month:10;year:2001,month:10;year:2001,month:10;year:1994,month:10;year:1994,
373,Telenor Pakistan,Telenor,secp,Ufone,PTML,Assistant Manager Customer Value Management Analytic (CVMA),Senior Data Sciences; Manager Advanced Analytics,Software Engineer,Assistant Manager- MIS BI & Analytics,Senior Executive-Advanced Analytics,Pakistan,Islamabad,Ufone-PTML,,,month:5;year:2015,,month:11;year:2016,,month:8;year:2004,month:6;year:2007,month:1;year:2009,month:5;year:2015,year:2009,year:2010,
374,Microsoft,Trimax Americas,Microsoft,Mahindra Satyam,Tech Mahindra (formerly Mahindra Satyam),Support Escalation Engineer - Azure,Project Manager,Project Manager,Project Lead,Project Manager,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Hyderabad Area; India,Greater Seattle Area,month:3;year:2016,,month:8;year:2015,month:3;year:2016,month:3;year:2013,month:8;year:2015,month:1;year:2008,month:2;year:2013,month:3;year:2013,month:8;year:2015,
375,Microsoft,Microsoft,Accenture,Accenture,Microsoft,Program Delivery Manager,Solution Manager,Senior Consultant,Development Team Lead,Lead Test Engineer,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Hyderabad Area; India,Greater Seattle Area,month:2;year:2011,,month:5;year:2008,month:1;year:2011,month:3;year:2004,month:11;year:2006,month:8;year:2002,month:3;year:2004,month:11;year:2006,month:7;year:2008,
376,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Engineer - Microsoft SQL Server Global Support,Program Manager,Premier Field Engineer - Database & Business Intelligence,Service Engineer - Database & BI Analytics,Tech Lead/Senior Engineer - Microsoft SQL Server Global Support,Bengaluru Area; India,Greater Seattle Area,Reading; United Kingdom,Greater Seattle Area,Bengaluru Area; India,month:3;year:2007,month:3;year:2007,month:5;year:2016,month:5;year:2016,month:6;year:2011,month:6;year:2011,month:6;year:2014,month:6;year:2014,month:4;year:2009,month:4;year:2009,
377,ID organics,International School Almere,,,,Web developer,Teacher English A - MYP & DP,,,,Zaandam,,,,,month:8;year:2016,,month:8;year:2013,month:8;year:2016,,,,,,,
378,Barclays Investment Bank,JPMorgan Chase,,,,Application Support Analyst,Rates Applicaton Support,,,,Singapore,Singapore,,,,month:2;year:2009,month:10;year:2010,month:7;year:2011,,,,,,,,
379,Tech Mahindra,Saaragh Technologies,getstarted.guru,Panacea Technosoft,nFlick,Project Manager,Founder,Founder,Program Manager,Co-Founder,Singapore,Singapore,Singapore,Singapore,Singapore,month:3;year:2010,month:3;year:2010,month:3;year:2014,month:3;year:2014,month:5;year:2016,month:5;year:2016,month:10;year:2007,month:10;year:2007,year:2012,year:2012,
380,Merck Medco Health Care services,NetApp,PayPal,Discover Financial Services,Facebook,Analytics Lead; Medical Claims,Westcoast OCI Lead,Business Lead; Mobile & PayPal Here,Technical Lead; Expert Engine,Technical Lead; Logical Audits,Washington D.C. Metro Area,San Francisco Bay Area,SanJose; ca,San Francisco Bay Area,,month:3;year:2000,month:10;year:2007,month:10;year:2015,,month:9;year:2009,month:9;year:2013,month:10;year:2007,month:9;year:2009,month:10;year:2013,month:10;year:2015,
381,Techgene Solutions,DataScienceDojo,Cognizant Technology Solutions,SumTotal Systems,Univar,Software Engineer,Student,Assistant Project Manager,Senior Software Engineer,Senior Developer,,,,,,month:5;year:2006,month:9;year:2008,year:2016,year:2016,month:10;year:2009,month:12;year:2010,month:10;year:2008,month:10;year:2009,month:12;year:2010,,
382,TrueBlue Inc.,ideeli,kgb,ideeli,Stella & Dot Family of Brands,Vice President; Business Intelligence,Director; Business Intelligence / Data Services,Director; Business Intelligence - Global Administration,Senior Manager; Business Intelligence / Data Services,Director of Business Intelligence,Greater Seattle Area,Greater New York City Area,San Francisco Bay Area,,,month:10;year:2016,,month:2;year:2013,month:4;year:2013,month:5;year:2013,month:1;year:2014,month:7;year:2011,month:2;year:2013,month:1;year:2014,month:9;year:2016,
383,SemanticBits,SemanticBits,VERISIGN,,,Tech Lead,Senior Software Developer,Software Engineer IV,,,Herndon; VA,Reston; VA,,,,month:9;year:2011,month:10;year:2013,year:2007,year:2011,month:10;year:2013,,,,,,
384,Xerox,Xerox,Concur an SAP Company,Harris Beach PLLC,Nixon Peabody,Financial Analyst; North American Finance,Financial Analyst; Corporate Finance Re-engineering,Senior Business Analyst; Global Sales and Marketing Operations,Senior Financial Analyst,Senior Financial Analyst,Greater Seattle Area,Rochester; NY,,,,month:6;year:2007,month:4;year:2008,month:2;year:2005,month:5;year:2007,month:9;year:2013,month:7;year:2016,month:8;year:2016,,month:5;year:2008,month:9;year:2013,
385,,,,,,,,,,,,,,,,,,,,,,,,,,
